,city,country,hash,date
1586,Vienna,Austria,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-01-02 06:59:25
1961,Mare,New Caledonia,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-03-02 00:25:44
3904,Naples,United States,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-03-11 04:17:19
681,Gothenborg,Sweden,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-05-02 03:43:13
3813,Ende,Indonesia,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-06-15 15:18:42
3313,Fort Wainwright,United States,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-07-23 16:18:26
105,Port Menier,Canada,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-08-24 13:43:18
2739,Cuzco,Peru,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-08-03 13:23:14
3452,Millinocket,United States,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-10-07 02:11:22
2182,Damascus,Syria,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-11-01 19:16:37
3551,Hibbing,United States,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2016-12-11 23:17:42
3988,Lhasa,China,0xlbx02acp4ufxoxu0qtvaoo2oxoofvx61c46l86m8,2017-02-06 13:48:06
4252,Noyabrsk,Russia,0xwrdfjuge5njnmg4y6f6zd9dhzrs6cgi9ytlkpk7k,2016-02-08 11:38:55
2804,Fort-de-france,Martinique,0xwrdfjuge5njnmg4y6f6zd9dhzrs6cgi9ytlkpk7k,2016-02-23 04:39:09
528,Inverness,United Kingdom,0xvl71wfsfe9v6yyqsey5cxpv6abr33iphrdsao20m,2016-02-14 17:33:11
3413,Edwards Afb,United States,0xvl71wfsfe9v6yyqsey5cxpv6abr33iphrdsao20m,2016-03-16 19:07:24
709,Lycksele,Sweden,0xvl71wfsfe9v6yyqsey5cxpv6abr33iphrdsao20m,2016-04-01 14:56:24
1993,Tauranga,New Zealand,0xvl71wfsfe9v6yyqsey5cxpv6abr33iphrdsao20m,2016-04-28 12:55:23
2239,Yamaguchi,Japan,0xvl71wfsfe9v6yyqsey5cxpv6abr33iphrdsao20m,2016-06-23 03:42:48
2870,St. Petersburg,Russia,0xvl71wfsfe9v6yyqsey5cxpv6abr33iphrdsao20m,2016-07-12 04:11:59
1626,Caransebes,Romania,0xvl71wfsfe9v6yyqsey5cxpv6abr33iphrdsao20m,2016-08-14 10:38:16
1634,Tulcea,Romania,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-01-01 11:06:08
2929,Jabalpur,India,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-03-07 07:35:29
1119,Kisumu,Kenya,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-03-16 02:56:20
3017,Jaipur,India,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-05-18 09:12:18
3775,Selma,United States,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-05-13 14:46:23
2232,Hakodate,Japan,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-06-14 04:26:10
2900,Bukhara,Uzbekistan,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-08-02 23:04:46
2640,Bahia Solano,Colombia,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-09-05 23:51:50
1159,Lake Manyara,Tanzania,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-10-12 16:02:40
3539,Marysville,United States,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-10-18 18:45:49
4399,Saul,French Guiana,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2016-11-08 10:05:44
39,Clyde River,Canada,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2017-02-10 13:07:41
269,Makurdi,Nigeria,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2017-01-03 14:16:05
3622,Miami,United States,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2017-01-01 13:16:38
3161,Luwuk,Indonesia,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2017-02-12 15:19:50
3738,Gulkana,United States,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2017-02-02 00:57:22
3977,Mae Hong Son,Thailand,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2017-01-18 19:43:51
515,Hawarden,United Kingdom,0xoiqtt378kp9rtbr21sh1b48d4623i9v9b03j188s,2017-01-25 07:51:24
1407,Nancy,France,0xpg7dchy3oi6iosi6swbhj7g87cry7vmoomy0vknh,2016-01-15 20:46:53
2867,Lvov,Ukraine,0xpg7dchy3oi6iosi6swbhj7g87cry7vmoomy0vknh,2016-02-06 18:52:36
1673,Istanbul,Turkey,0xpg7dchy3oi6iosi6swbhj7g87cry7vmoomy0vknh,2016-03-21 09:16:26
116,Moncton,Canada,0xpg7dchy3oi6iosi6swbhj7g87cry7vmoomy0vknh,2016-04-05 23:40:49
930,Cabinda,Angola,0xpg7dchy3oi6iosi6swbhj7g87cry7vmoomy0vknh,2016-05-22 16:42:19
